Key Id,Label,Series Break
PDPOSCSCP,CORPORATE SECURITIES:  COMMERCIAL PAPER:  DEALER POSITION - LONG. - CORPORATE SECURITIES:  COMMERCIAL PAPER:  DEALER POSITION - SHORT.,SBN2024
PDPOSCSBND-G13,CORPORATE SECURITIES: INVESTMENT GRADE BONDS NOTES AND DEBENTURES DUE IN MORE THAN 13 MONTHS BUT LESS THAN OR EQUAL TO 5 YEARS: DEALER POSITION - LONG. - CORPORATE SECURITIES INVESTMENT GRADE BONDS NOTES AND DEBENTURES DUE IN MORE THAN 13 MONTHS BUT LESS THAN OR EQUAL TO 5 YEARS: DEALER POSITION - SHORT.,SBN2024
PDPOSFGS-C,FEDERAL AGENCY AND GSE SECURITIES (EXCLUDING MBS) - COUPONS:  DEALER POSITION - LONG - FEDERAL AGENCY AND GSE SECURITIES (EXCLUDING MBS) - COUPONS :  DEALER POSITION - SHORT,SBN2024
PDPOSFGS-DN,FEDERAL AGENCY AND GSE SECURITIES (EXCLUDING MBS) - DISCOUNT NOTES:  DEALER POSITION - LONG - FEDERAL AGENCY AND GSE SECURITIES (EXCLUDING MBS) - DISCOUNT NOTES:  DEALER POSITION - SHORT,SBN2024
PDPOSGS-BFRN,FLOATING RATE NOTES: DEALER POSITION - LONG. - FLOATING RATE NOTES: DEALER POSITION - SHORT.,SBN2024
PDPOSMBSFGS-OR,MORTGAGE-BACKED SECURITIES -  ALL OTHER FEDERAL AGENCY AND GSE RESIDENTIAL MBS:  DEALER POSITION - LONG - MORTGAGE-BACKED SECURITIES -  ALL OTHER FEDERAL AGENCY AND GSE RESIDENTIAL MBS:  DEALER POSITION - SHORT,SBN2024
PDPOSMBSFGS-C,MORTGAGE-BACKED SECURITIES -  FEDERAL AGENCY AND GSE CMBS:  DEALER POSITION - LONG - MORTGAGE-BACKED SECURITIES -  FEDERAL AGENCY AND GSE CMBS:  DEALER POSITION - SHORT,SBN2024
PDPOSMBSNA-O,MORTGAGE-BACKED SECURITIES -  NON-AGENCY OTHER CMBS :  DEALER POSITION - LONG - MORTGAGE-BACKED SECURITIES -  NON-AGENCY OTHER CMBS :  DEALER POSITION - SHORT,SBN2024
PDPOSMBSNA-R,MORTGAGE-BACKED SECURITIES -  NON-AGENCY RESIDENTIAL MBS :  DEALER POSITION - LONG - MORTGAGE-BACKED SECURITIES -  NON-AGENCY RESIDENTIAL MBS :  DEALER POSITION - SHORT,SBN2024
PDPOSMBSFGS-ST,"Mortgage-backed Securities: Federal Agency and GSE MBS: Specified pools - Outright Positions, Long -  Mortgage-backed Securities: Federal Agency and GSE MBS: Specified pools - Outright Positions, Short",SBN2024
PDPOSSMGO-L13,STATE AND MUNICIPAL GOVERNMENT OBLIGATIONS DUE IN LESS THAN OR EQUAL TO 13 MONTHS:  DEALER POSITION - LONG. - STATE AND MUNICIPAL GOVERNMENT OBLIGATIONS DUE IN LESS THAN OR EQUAL TO 13 MONTHS:  DEALER POSITION - SHORT.,SBN2024
PDPOSSMGO-G10,STATE AND MUNICIPAL GOVERNMENT OBLIGATIONS DUE IN MORE THAN 10 YEARS: DEALER POSITION - LONG. - STATE AND MUNICIPAL GOVERNMENT OBLIGATIONS DUE IN MORE THAN 10 YEARS: DEALER POSITION - SHORT.,SBN2024
PDPOSSMGO-G13,STATE AND MUNICIPAL GOVERNMENT OBLIGATIONS DUE IN MORE THAN 13 MONTHS BUT LESS THAN OR EQUAL TO 5 YEARS: DEALER POSITION - LONG. - STATE AND MUNICIPAL GOVERNMENT OBLIGATIONS DUE IN MORE THAN 13 MONTHS BUT LESS THAN OR EQUAL TO 5 YEARS: DEALER POSITION - SHORT.,SBN2024
PDPOSSMGO-G5L10,STATE AND MUNICIPAL GOVERNMENT OBLIGATIONS DUE IN MORE THAN 5 YEARS BUT LESS THAN OR EQUAL TO 10 YEARS: DEALER POSITION - LONG. - STATE AND MUNICIPAL GOVERNMENT OBLIGATIONS DUE IN MORE THAN 5 YEARS BUT LESS THAN OR EQUAL TO 10 YEARS: DEALER POSITION - SHORT.,SBN2024
PDPOSSMGO-VRD,STATE AND MUNICIPAL GOVERNMENT OBLIGATIONS VARIABLE RATE DEMAND NOTES:  DEALER POSITION - LONG. - STATE AND MUNICIPAL GOVERNMENT OBLIGATIONS VARIABLE RATE DEMAND NOTES:  DEALER POSITION - SHORT.,SBN2024
PDPOSTIPS-L2,U.S. TREASURY INFLATION-PROTECTED SECURITIES (TIPS) DUE IN LESS THAN OR EQUAL TO 2 YEARS :  DEALER POSITION - LONG. - U.S. TREASURY INFLATION-PROTECTED SECURITIES (TIPS) DUE IN LESS THAN OR EQUAL TO 2 YEARS :  DEALER POSITION - SHORT.,SBN2024
PDPOSTIPS-G11,U.S. TREASURY INFLATION-PROTECTED SECURITIES (TIPS) DUE IN MORE THAN  11 YEARS :  DEALER POSITION - LONG. - U.S. TREASURY INFLATION-PROTECTED SECURITIES (TIPS) DUE IN MORE THAN 11 YEARS :  DEALER POSITION - SHORT.,SBN2024
PDPOSTIPS-G2,U.S. TREASURY INFLATION-PROTECTED SECURITIES (TIPS) DUE IN MORE THAN 2 YEARS BUT LESS THAN OR EQUAL TO 6 YEARS :  DEALER POSITION - LONG. - U.S. TREASURY INFLATION-PROTECTED SECURITIES (TIPS) DUE IN MORE THAN 2 YEARS BUT LESS THAN OR EQUAL TO 6 YEARS :  DEALER POSITION - SHORT.,SBN2024
PDPOSTIPS-G6L11,U.S. TREASURY INFLATION-PROTECTED SECURITIES (TIPS) DUE IN MORE THAN 6 YEARS BUT LESS THAN OR EQUAL TO 11 YEARS :  DEALER POSITION - LONG. - U.S. TREASURY INFLATION-PROTECTED SECURITIES (TIPS) DUE IN MORE THAN 6 YEARS BUT LESS THAN OR EQUAL TO 11 YEARS :  DEALER POSITION - SHORT.,SBN2024
PDPOSGSC-G11L21,U.S. TREASURY SECURITIES (EXCLUDING TIPS): COUPONS DUE IN MORE THAN 11 YEARS BUT LESS THAN OR EQUAL TO  21 YEARS - OUTRIGHT POSITIONS LONG - U.S. TREASURY SECURITIES (EXCLUDING TIPS): COUPONS DUE IN MORE THAN 11 YEARS BUT LESS THAN OR EQUAL TO 21 YEARS - OUTRIGHT POSITIONS SHORT,SBN2024
PDPOSGSC-G21,U.S. TREASURY SECURITIES (EXCLUDING TIPS): COUPONS DUE IN MORE THAN 21 YEARS - OUTRIGHT POSITIONS LONG - U.S. TREASURY SECURITIES (EXCLUDING TIPS): COUPONS DUE IN MORE THAN 21 YEARS - OUTRIGHT POSITIONS SHORT,SBN2024
